step,epoch,param,layer,grad_norm
48,0,fc1.bias,fc1,0.04596883803606033
48,0,fc1.weight,fc1,0.3452337384223938
49,0,fc2.bias,fc2,0.044440727680921555
49,0,fc2.weight,fc2,0.617038369178772
49,0,fc1.bias,fc1,0.03380199894309044
49,0,fc1.weight,fc1,0.3553263545036316
50,0,fc2.bias,fc2,0.06266111135482788
50,0,fc2.weight,fc2,0.574161946773529
50,0,fc1.bias,fc1,0.044697169214487076
50,0,fc1.weight,fc1,0.3181781768798828
51,0,fc2.bias,fc2,0.06156027317047119
51,0,fc2.weight,fc2,0.8908390998840332
51,0,fc1.bias,fc1,0.04153835400938988
51,0,fc1.weight,fc1,0.3967616558074951
52,0,fc2.bias,fc2,0.06117941066622734
52,0,fc2.weight,fc2,0.8593711256980896
52,0,fc1.bias,fc1,0.04403088241815567
52,0,fc1.weight,fc1,0.43165770173072815
53,0,fc2.bias,fc2,0.054362110793590546
53,0,fc2.weight,fc2,0.6462278962135315
53,0,fc1.bias,fc1,0.04449304938316345
53,0,fc1.weight,fc1,0.342878520488739
54,0,fc2.bias,fc2,0.08798206597566605
54,0,fc2.weight,fc2,1.1721869707107544
54,0,fc1.bias,fc1,0.0678156390786171
54,0,fc1.weight,fc1,0.5467564463615417
55,0,fc2.bias,fc2,0.0525948666036129
55,0,fc2.weight,fc2,0.682879626750946
55,0,fc1.bias,fc1,0.042903028428554535
55,0,fc1.weight,fc1,0.39380377531051636
56,0,fc2.bias,fc2,0.03227008134126663
56,0,fc2.weight,fc2,0.40387141704559326
56,0,fc1.bias,fc1,0.02471798285841942
56,0,fc1.weight,fc1,0.2627217173576355
57,0,fc2.bias,fc2,0.04644419625401497
57,0,fc2.weight,fc2,0.6880899667739868
57,0,fc1.bias,fc1,0.0361313596367836
57,0,fc1.weight,fc1,0.3358120024204254
58,0,fc2.bias,fc2,0.037462107837200165
58,0,fc2.weight,fc2,0.6046210527420044
58,0,fc1.bias,fc1,0.03190261498093605
58,0,fc1.weight,fc1,0.32540830969810486
59,0,fc2.bias,fc2,0.05091848969459534
59,0,fc2.weight,fc2,0.5716162919998169
59,0,fc1.bias,fc1,0.040389664471149445
59,0,fc1.weight,fc1,0.31799057126045227
60,0,fc2.bias,fc2,0.04424670338630676
60,0,fc2.weight,fc2,0.5980611443519592
60,0,fc1.bias,fc1,0.03546656295657158
60,0,fc1.weight,fc1,0.2977447211742401
61,0,fc2.bias,fc2,0.0487484484910965
61,0,fc2.weight,fc2,0.5802677273750305
61,0,fc1.bias,fc1,0.04280978813767433
61,0,fc1.weight,fc1,0.32119688391685486
62,0,fc2.bias,fc2,0.07541486620903015
62,0,fc2.weight,fc2,0.9347074627876282
62,0,fc1.bias,fc1,0.05904277414083481
62,0,fc1.weight,fc1,0.4362127482891083
63,0,fc2.bias,fc2,0.08394154906272888
63,0,fc2.weight,fc2,0.9844530820846558
63,0,fc1.bias,fc1,0.06713993847370148
63,0,fc1.weight,fc1,0.4631400406360626
64,0,fc2.bias,fc2,0.05899137258529663
64,0,fc2.weight,fc2,0.7163265943527222
64,0,fc1.bias,fc1,0.041628558188676834
64,0,fc1.weight,fc1,0.3542598783969879
65,0,fc2.bias,fc2,0.04819836467504501
65,0,fc2.weight,fc2,0.4685736298561096
65,0,fc1.bias,fc1,0.04159955680370331
65,0,fc1.weight,fc1,0.3149695098400116
66,0,fc2.bias,fc2,0.04220782220363617
66,0,fc2.weight,fc2,0.44598588347435
66,0,fc1.bias,fc1,0.03542063385248184
66,0,fc1.weight,fc1,0.3173697292804718
67,0,fc2.bias,fc2,0.05778959020972252
67,0,fc2.weight,fc2,0.6192217469215393
67,0,fc1.bias,fc1,0.04546419158577919
67,0,fc1.weight,fc1,0.31389617919921875
68,0,fc2.bias,fc2,0.04521830752491951
68,0,fc2.weight,fc2,0.6763018369674683
68,0,fc1.bias,fc1,0.03626075014472008
68,0,fc1.weight,fc1,0.34520578384399414
69,0,fc2.bias,fc2,0.03895026817917824
69,0,fc2.weight,fc2,0.5534932613372803
69,0,fc1.bias,fc1,0.034585900604724884
69,0,fc1.weight,fc1,0.3066447973251343
70,0,fc2.bias,fc2,0.03479301184415817
70,0,fc2.weight,fc2,0.5527315139770508
70,0,fc1.bias,fc1,0.031788893043994904
70,0,fc1.weight,fc1,0.34374406933784485
71,0,fc2.bias,fc2,0.05836259201169014
71,0,fc2.weight,fc2,0.8097009658813477
71,0,fc1.bias,fc1,0.05082307383418083
71,0,fc1.weight,fc1,0.3915354311466217
72,0,fc2.bias,fc2,0.05310915783047676
72,0,fc2.weight,fc2,0.6738442778587341
72,0,fc1.bias,fc1,0.04207726940512657
72,0,fc1.weight,fc1,0.3468754291534424
73,0,fc2.bias,fc2,0.05209440737962723
73,0,fc2.weight,fc2,0.6011914014816284
73,0,fc1.bias,fc1,0.035650476813316345
73,0,fc1.weight,fc1,0.29548484086990356
74,0,fc2.bias,fc2,0.044775720685720444
74,0,fc2.weight,fc2,0.7064669132232666
74,0,fc1.bias,fc1,0.036875490099191666
74,0,fc1.weight,fc1,0.3932124376296997
75,0,fc2.bias,fc2,0.045244552195072174
75,0,fc2.weight,fc2,0.7325379252433777
75,0,fc1.bias,fc1,0.03709394857287407
75,0,fc1.weight,fc1,0.3403831422328949
76,0,fc2.bias,fc2,0.029117126017808914
76,0,fc2.weight,fc2,0.41345104575157166
76,0,fc1.bias,fc1,0.025548851117491722
76,0,fc1.weight,fc1,0.26643168926239014
77,0,fc2.bias,fc2,0.0586557611823082
77,0,fc2.weight,fc2,0.7759513854980469
77,0,fc1.bias,fc1,0.04772380366921425
77,0,fc1.weight,fc1,0.3810739815235138
78,0,fc2.bias,fc2,0.05972477048635483
78,0,fc2.weight,fc2,0.8675619959831238
78,0,fc1.bias,fc1,0.050427164882421494
78,0,fc1.weight,fc1,0.4065632224082947
79,0,fc2.bias,fc2,0.03407558798789978
79,0,fc2.weight,fc2,0.5057435035705566
79,0,fc1.bias,fc1,0.03100312128663063
79,0,fc1.weight,fc1,0.2900044322013855
80,0,fc2.bias,fc2,0.05068398639559746
80,0,fc2.weight,fc2,0.8210293650627136
80,0,fc1.bias,fc1,0.04250013083219528
80,0,fc1.weight,fc1,0.38484010100364685
81,0,fc2.bias,fc2,0.039784450083971024
81,0,fc2.weight,fc2,0.48010921478271484
81,0,fc1.bias,fc1,0.032700665295124054
81,0,fc1.weight,fc1,0.27413734793663025
82,0,fc2.bias,fc2,0.04258609935641289
82,0,fc2.weight,fc2,0.6433091759681702
82,0,fc1.bias,fc1,0.03514222055673599
82,0,fc1.weight,fc1,0.33320459723472595
83,0,fc2.bias,fc2,0.05545983090996742
83,0,fc2.weight,fc2,0.6824245452880859
83,0,fc1.bias,fc1,0.042306412011384964
83,0,fc1.weight,fc1,0.30334603786468506
84,0,fc2.bias,fc2,0.03535697981715202
84,0,fc2.weight,fc2,0.4404551088809967
84,0,fc1.bias,fc1,0.032764945179224014
84,0,fc1.weight,fc1,0.25674280524253845
85,0,fc2.bias,fc2,0.04587118700146675
85,0,fc2.weight,fc2,0.5757516622543335
85,0,fc1.bias,fc1,0.03753138706088066
85,0,fc1.weight,fc1,0.30380892753601074
86,0,fc2.bias,fc2,0.03998960927128792
86,0,fc2.weight,fc2,0.5364024043083191
86,0,fc1.bias,fc1,0.034582849591970444
86,0,fc1.weight,fc1,0.30630064010620117
87,0,fc2.bias,fc2,0.05060787871479988
87,0,fc2.weight,fc2,0.6691221594810486
87,0,fc1.bias,fc1,0.04108317196369171
87,0,fc1.weight,fc1,0.3468417227268219
88,0,fc2.bias,fc2,0.07226849347352982
88,0,fc2.weight,fc2,0.95244300365448
88,0,fc1.bias,fc1,0.06073978543281555
88,0,fc1.weight,fc1,0.4430749714374542
89,0,fc2.bias,fc2,0.04429472237825394
89,0,fc2.weight,fc2,0.6671538949012756
89,0,fc1.bias,fc1,0.03687861189246178
89,0,fc1.weight,fc1,0.35598909854888916
90,0,fc2.bias,fc2,0.027968714013695717
90,0,fc2.weight,fc2,0.3855525553226471
90,0,fc1.bias,fc1,0.023134147748351097
90,0,fc1.weight,fc1,0.2631776034832001
91,0,fc2.bias,fc2,0.03323356434702873
91,0,fc2.weight,fc2,0.43241941928863525
91,0,fc1.bias,fc1,0.030404364690184593
91,0,fc1.weight,fc1,0.2811957597732544
92,0,fc2.bias,fc2,0.035757362842559814
92,0,fc2.weight,fc2,0.5714378356933594
92,0,fc1.bias,fc1,0.033003099262714386
92,0,fc1.weight,fc1,0.32217317819595337
93,0,fc2.bias,fc2,0.04362533614039421
93,0,fc2.weight,fc2,0.5597858428955078
93,0,fc1.bias,fc1,0.037750959396362305
93,0,fc1.weight,fc1,0.3079443871974945
94,0,fc2.bias,fc2,0.034623049199581146
94,0,fc2.weight,fc2,0.5815063714981079
94,0,fc1.bias,fc1,0.028761887922883034
94,0,fc1.weight,fc1,0.3044824004173279
95,0,fc2.bias,fc2,0.035159431397914886
95,0,fc2.weight,fc2,0.5027132034301758
95,0,fc1.bias,fc1,0.03544362634420395
95,0,fc1.weight,fc1,0.31848564743995667
96,0,fc2.bias,fc2,0.05154987797141075
96,0,fc2.weight,fc2,0.7717129588127136
96,0,fc1.bias,fc1,0.045636653900146484
96,0,fc1.weight,fc1,0.38444358110427856
97,0,fc2.bias,fc2,0.05282182991504669
97,0,fc2.weight,fc2,0.8245523571968079
97,0,fc1.bias,fc1,0.04509897530078888
97,0,fc1.weight,fc1,0.3848915100097656
98,0,fc2.bias,fc2,0.06275582313537598
98,0,fc2.weight,fc2,0.8460957407951355
98,0,fc1.bias,fc1,0.055157370865345
98,0,fc1.weight,fc1,0.3878968060016632
99,0,fc2.bias,fc2,0.03309255465865135
99,0,fc2.weight,fc2,0.5230951905250549
99,0,fc1.bias,fc1,0.032659053802490234
99,0,fc1.weight,fc1,0.31685489416122437
100,0,fc2.bias,fc2,0.05906413123011589
100,0,fc2.weight,fc2,0.5861183404922485
100,0,fc1.bias,fc1,0.04675158113241196
100,0,fc1.weight,fc1,0.3117709755897522
101,0,fc2.bias,fc2,0.05071517080068588
101,0,fc2.weight,fc2,0.6836295127868652
101,0,fc1.bias,fc1,0.04797692596912384
101,0,fc1.weight,fc1,0.36991778016090393
102,0,fc2.bias,fc2,0.04361449554562569
102,0,fc2.weight,fc2,0.49601924419403076
102,0,fc1.bias,fc1,0.041236065328121185
102,0,fc1.weight,fc1,0.28407853841781616
103,0,fc2.bias,fc2,0.05856269225478172
103,0,fc2.weight,fc2,0.8472022414207458
103,0,fc1.bias,fc1,0.057171985507011414
103,0,fc1.weight,fc1,0.4401863217353821
104,0,fc2.bias,fc2,0.04222998023033142
104,0,fc2.weight,fc2,0.6700917482376099
104,0,fc1.bias,fc1,0.040029168128967285
104,0,fc1.weight,fc1,0.3567218780517578
105,0,fc2.bias,fc2,0.03679835423827171
105,0,fc2.weight,fc2,0.573861837387085
105,0,fc1.bias,fc1,0.033237773925065994
105,0,fc1.weight,fc1,0.31421706080436707
106,0,fc2.bias,fc2,0.028708092868328094
106,0,fc2.weight,fc2,0.3868734538555145
106,0,fc1.bias,fc1,0.021534385159611702
106,0,fc1.weight,fc1,0.22445033490657806
107,0,fc2.bias,fc2,0.05076843872666359
107,0,fc2.weight,fc2,0.6598946452140808
107,0,fc1.bias,fc1,0.043533049523830414
107,0,fc1.weight,fc1,0.3312506675720215
108,0,fc2.bias,fc2,0.06708307564258575
108,0,fc2.weight,fc2,1.0248279571533203
108,0,fc1.bias,fc1,0.05618657171726227
108,0,fc1.weight,fc1,0.4391229748725891
109,0,fc2.bias,fc2,0.0388532429933548
109,0,fc2.weight,fc2,0.5818873047828674
109,0,fc1.bias,fc1,0.03903321176767349
109,0,fc1.weight,fc1,0.34621986746788025
110,0,fc2.bias,fc2,0.03452252224087715
110,0,fc2.weight,fc2,0.509522557258606
110,0,fc1.bias,fc1,0.03445185720920563
110,0,fc1.weight,fc1,0.322637140750885
111,0,fc2.bias,fc2,0.01782088354229927
111,0,fc2.weight,fc2,0.3680722415447235
111,0,fc1.bias,fc1,0.01715419813990593
111,0,fc1.weight,fc1,0.2503754198551178
112,0,fc2.bias,fc2,0.05453169718384743
112,0,fc2.weight,fc2,0.7453048229217529
112,0,fc1.bias,fc1,0.055569764226675034
112,0,fc1.weight,fc1,0.42374634742736816
113,0,fc2.bias,fc2,0.043732184916734695
113,0,fc2.weight,fc2,0.7239364981651306
113,0,fc1.bias,fc1,0.03747406601905823
113,0,fc1.weight,fc1,0.3512982428073883
114,0,fc2.bias,fc2,0.042325858026742935
114,0,fc2.weight,fc2,0.7077365517616272
114,0,fc1.bias,fc1,0.03801543265581131
114,0,fc1.weight,fc1,0.3328203856945038
115,0,fc2.bias,fc2,0.05899723246693611
115,0,fc2.weight,fc2,0.9432270526885986
115,0,fc1.bias,fc1,0.04981626570224762
115,0,fc1.weight,fc1,0.43562135100364685
116,0,fc2.bias,fc2,0.03354379162192345
116,0,fc2.weight,fc2,0.6147918701171875
116,0,fc1.bias,fc1,0.03265802934765816
116,0,fc1.weight,fc1,0.31292054057121277
117,0,fc2.bias,fc2,0.03374980762600899
117,0,fc2.weight,fc2,0.48413896560668945
117,0,fc1.bias,fc1,0.03045821748673916
117,0,fc1.weight,fc1,0.2906392812728882
118,0,fc2.bias,fc2,0.024597449228167534
118,0,fc2.weight,fc2,0.3934035897254944
118,0,fc1.bias,fc1,0.022809572517871857
118,0,fc1.weight,fc1,0.25255122780799866
119,0,fc2.bias,fc2,0.03275127336382866
119,0,fc2.weight,fc2,0.45268285274505615
119,0,fc1.bias,fc1,0.030640210956335068
119,0,fc1.weight,fc1,0.26116299629211426
120,0,fc2.bias,fc2,0.032245635986328125
120,0,fc2.weight,fc2,0.4729439616203308
120,0,fc1.bias,fc1,0.03367147967219353
120,0,fc1.weight,fc1,0.2949555516242981
121,0,fc2.bias,fc2,0.027345051988959312
121,0,fc2.weight,fc2,0.4673464596271515
121,0,fc1.bias,fc1,0.025109346956014633
121,0,fc1.weight,fc1,0.27558332681655884
122,0,fc2.bias,fc2,0.03596852347254753
122,0,fc2.weight,fc2,0.5523427128791809
122,0,fc1.bias,fc1,0.030498908832669258
122,0,fc1.weight,fc1,0.28103160858154297
123,0,fc2.bias,fc2,0.04206663742661476
123,0,fc2.weight,fc2,0.5616366863250732
123,0,fc1.bias,fc1,0.03943959251046181
123,0,fc1.weight,fc1,0.3222845494747162
124,0,fc2.bias,fc2,0.019520429894328117
124,0,fc2.weight,fc2,0.3133232891559601
124,0,fc1.bias,fc1,0.016193082556128502
124,0,fc1.weight,fc1,0.22123534977436066
125,0,fc2.bias,fc2,0.033459991216659546
125,0,fc2.weight,fc2,0.5280597805976868
125,0,fc1.bias,fc1,0.026330148801207542
125,0,fc1.weight,fc1,0.26857948303222656
126,0,fc2.bias,fc2,0.029639916494488716
126,0,fc2.weight,fc2,0.3989972174167633
126,0,fc1.bias,fc1,0.03108980320394039
126,0,fc1.weight,fc1,0.3070841431617737
127,0,fc2.bias,fc2,0.04447507858276367
127,0,fc2.weight,fc2,0.6105408072471619
127,0,fc1.bias,fc1,0.03694798797369003
127,0,fc1.weight,fc1,0.308112770318985
128,0,fc2.bias,fc2,0.03983515873551369
128,0,fc2.weight,fc2,0.6019856333732605
128,0,fc1.bias,fc1,0.04042059928178787
128,0,fc1.weight,fc1,0.3290317952632904
129,0,fc2.bias,fc2,0.058542340993881226
129,0,fc2.weight,fc2,0.9176493883132935
129,0,fc1.bias,fc1,0.048171449452638626
129,0,fc1.weight,fc1,0.39565369486808777
130,0,fc2.bias,fc2,0.029039397835731506
130,0,fc2.weight,fc2,0.41297805309295654
130,0,fc1.bias,fc1,0.02712101861834526
130,0,fc1.weight,fc1,0.2508161664009094
131,0,fc2.bias,fc2,0.023238802328705788
131,0,fc2.weight,fc2,0.3761056959629059
131,0,fc1.bias,fc1,0.020646099001169205
131,0,fc1.weight,fc1,0.24162067472934723
132,0,fc2.bias,fc2,0.02747037634253502
132,0,fc2.weight,fc2,0.34837907552719116
132,0,fc1.bias,fc1,0.024960272014141083
132,0,fc1.weight,fc1,0.2632022500038147
133,0,fc2.bias,fc2,0.045597005635499954
133,0,fc2.weight,fc2,0.6224504709243774
133,0,fc1.bias,fc1,0.0454740896821022
133,0,fc1.weight,fc1,0.3603588044643402
134,0,fc2.bias,fc2,0.028214525431394577
134,0,fc2.weight,fc2,0.34075412154197693
134,0,fc1.bias,fc1,0.028622493147850037
134,0,fc1.weight,fc1,0.2519395649433136
135,0,fc2.bias,fc2,0.07888180017471313
135,0,fc2.weight,fc2,0.9570673704147339
135,0,fc1.bias,fc1,0.06181032210588455
135,0,fc1.weight,fc1,0.4229177236557007
136,0,fc2.bias,fc2,0.028936855494976044
136,0,fc2.weight,fc2,0.4065224528312683
136,0,fc1.bias,fc1,0.024921711534261703
136,0,fc1.weight,fc1,0.29430192708969116
137,0,fc2.bias,fc2,0.054795484989881516
137,0,fc2.weight,fc2,0.7735929489135742
137,0,fc1.bias,fc1,0.044840287417173386
137,0,fc1.weight,fc1,0.3461926281452179
138,0,fc2.bias,fc2,0.03515990078449249
138,0,fc2.weight,fc2,0.4808133840560913
138,0,fc1.bias,fc1,0.03453211486339569
138,0,fc1.weight,fc1,0.32376113533973694
139,0,fc2.bias,fc2,0.03926985338330269
139,0,fc2.weight,fc2,0.5213758945465088
139,0,fc1.bias,fc1,0.04486751928925514
139,0,fc1.weight,fc1,0.3771500289440155
140,0,fc2.bias,fc2,0.049205876886844635
140,0,fc2.weight,fc2,0.6871441602706909
140,0,fc1.bias,fc1,0.04216385260224342
140,0,fc1.weight,fc1,0.3428710103034973
141,0,fc2.bias,fc2,0.04097617790102959
141,0,fc2.weight,fc2,0.6400595903396606
141,0,fc1.bias,fc1,0.03665078058838844
141,0,fc1.weight,fc1,0.3309016823768616
142,0,fc2.bias,fc2,0.04873545095324516
142,0,fc2.weight,fc2,0.7139143347740173
142,0,fc1.bias,fc1,0.044318683445453644
142,0,fc1.weight,fc1,0.3495596945285797
143,0,fc2.bias,fc2,0.019567228853702545
143,0,fc2.weight,fc2,0.3312107026576996
143,0,fc1.bias,fc1,0.02130536176264286
143,0,fc1.weight,fc1,0.25084519386291504
144,0,fc2.bias,fc2,0.0483115091919899
144,0,fc2.weight,fc2,0.7461895942687988
144,0,fc1.bias,fc1,0.04201871529221535
144,0,fc1.weight,fc1,0.3640517294406891
145,0,fc2.bias,fc2,0.04490220546722412
